Course Prefix,Course Number,Statewide Course Title,H.S. Credit,H.S. Grad Code,GE Core Subject Area
AMH,X010,Introductory Survey to 1877 (GE Core),0.5,AH,Social Sciences
AMH,X020,Introductory Survey Since 1877 (GE Core),0.5,AH,Social Sciences
ANT,X000,Introduction to Anthropology (GE Core),0.5,EL,Social Sciences
ARH,X000,Art Appreciation (GE Core),0.5,PF,Humanities
AST,X002,Descriptive Astronomy (GE Core),0.5,EQ,Natural Science
AST,X002/L,Descriptive Astronomy (GE Core),1,EQ,Natural Science
AST,X002C,Descriptive Astronomy (GE Core),1,EQ,Natural Science
BSC,X005,General Biology (GE Core),0.5,EQ,Natural Science
BSC,X005/L,General Biology (GE Core),0.5,DD,Natural Science
BSC,X005C,General Biology (GE Core),1,DD,Natural Science
BSC,X010,General Biology (GE Core),0.5,EQ,Natural Science
BSC,X010/L,General Biology (GE Core),0.5,DD,Natural Science
BSC,X010C,General Biology (GE Core),1,DD,Natural Science
BSC,X085,Anatomy & Physiology I (GE Core),0.5,EQ,Natural Science
BSC,X085/L,Anatomy & Physiology I (GE Core),0.5,DD,Natural Science
BSC,X085C,Anatomy & Physiology I (GE Core),1,DD,Natural Science
CHM,X020,Chemistry for Liberal Studies I (GE Core),0.5,EQ,Natural Science
CHM,X020/L,Chemistry for Liberal Studies I (GE Core),0.5,EQ,Natural Science
CHM,X020C,Chemistry for Liberal Studies I (GE Core),1,EQ,Natural Science
CHM,X045,General Chemistry (1 of 2) (GE Core),0.5,EQ,Natural Science
CHM,X045/L,General Chemistry (1 of 2) (GE Core),0.5,EQ,Natural Science
CHM,X045C,General Chemistry (1 of 2) (GE Core),1,EQ,Natural Science
ECO,X013,Principles of Economics Macro (GE Core),0.5,EC,Social Sciences
ENC,X101,Freshman Composition Skills I (GE Core),1,EN,Communication
ENC,X101C,English Composition (GE Core),1,EN,Communication
ENC,X101/L,English Composition (GE Core),1,EN,Communication
ENC,X102,Freshman Composition Skills II,1,EN,Communication
ENC,X107,Advanced College Writing,1,EN,Communication
ENC,X122,Freshman Composition II: Honors,1,EN,Communication
ENC,X135,Argument and Persuasion,1,EN,Communication
ENC,X210,Technical Writing,1,EN,Communication
ENC,X213,Technical and Business Writing,1,EN,Communication
ENC,X300,Intermediate Composition,1,EN,Communication
ENC,X301,Advanced Composition I,1,EN,Communication
ESC,X000,Introduction to Earth Science (GE Core),0.5,EQ,Natural  Science
ESC,X000/L,Introduction to Earth Science (GE Core),0.5,EQ,Natural Science
ESC,X000C,Introduction to Earth Science (GE Core),1,EQ,Natural  Science
EVR,X001,Introduction to Environmental Science (GE Core),0.5,EQ,Natural  Science
EVR,X001/L,Introduction to Environmental Science (GE Core),0.5,EQ,Natural Science
EVR,X001C,Introduction to Environmental Science (GE Core),1,EQ,Natural  Science
GLY,X010,Introductory Geology (GE Core),0.5,EQ,Natural Science
GLY,X010/L,Introductory Geology (GE Core),0.5,EQ,Natural Science
GLY,X010C,Introductory Geology (GE Core),1,EQ,Natural Science
HUM,X020,Introduction to Humanities (GE Core),0.5,EL,Humanities
LIT,X000,Introduction to Literature (GE Core),1,EN,Humanities
MAC,X105,College Algebra (GE Core),1,MA,Mathematics
MAC,X105C,College Algebra (GE Core),1,MA,Mathematics
MAC,X105/L,College Algebra (GE Core),1,MA,Mathematics
MAC,X311,Calculus I (GE Core),1,MA,Mathematics
MAC,X311C,Calculus I (GE Core),1,MA,Mathematics
MAC,X311/L,Calculus I Lab,0.5,MA,Mathematics
MGF,X130,Mathematical Thinking (GE Core),1,MA,Mathematics
MUL,X010,Intro. Music Lit/Music Apprec I (GE Core),0.5,PF,Humanities
OCE,X001,Survey of Oceanography (GE Core),0.5,EQ,Natural Science
OCE,X001/L,Survey of Oceanography (GE Core),1,EQ,Natural Science
OCE,X001C,Survey of Oceanography (GE Core),1,EQ,Natural Science
PHI,X010,Introduction to Philosophy (L) (GE Core),0.5,EL,Humanities
